aapl	320193
msft	789019
amzn	1018724
goog	1652044
tcehy	1293451
fb	1326801
baba	1577552
tsla	1318605
tsm	1046179
brk-a	1067983
v	1403161
jpm	19617
jnj	200406
wmt	104169
nvda	1045810
spy	884394
dis	1744489
ma	1141391
lvmuy	824046
pypl	1633917
pg	80424
unh	731766
bac	70858
hd	354950
idcby	1445468
intc	50863
asml	937966
cmcsa	1166691
nflx	1065280
vz	732712
pdd	1737806
xom	34088
adbe	796343
crm	1108524
ul	217410
ko	21344
abt	1800
nke	320187
tm	1094517
t	732717
cihky	1495688
cichy	1445474
orcl	1341439
nvs	1114448
bhp	811809
avgo	1730168
orcl	1341439
lly	59478
csco	858877
pfe	78003
mrk	310158
cvx	93410
abbv	1551152
tmo	97745
pep	77476
sftby	1065521
acgby	1501437
shop	1594805
nvo	353278
acn	1467373
rtntf	887028
bbl	1171264
dhr	313616
txn	97476
jd	1549802
qcom	804328
mcd	63908
mdt	1613103
cost	909832
wfc	72971
sap	1000184
rds-a	1306965
nee	753308
tmus	1283699
rio	863064
hon	773840
sne	313838
ms	895421
ups	1090727
unp	100885
bmy	14272
c	831001
pm	1413329
bachy	1378999
amgn	318154
azn	901832
lin	1707925
se	1703399
lfc	1268896
bud	1668717
qqq	1067839
low	60667
ry	1000275
ba	12927
hsbc	1089113
sq	1512673
hesay	1436949
sbux	829224
tot	879764
ptr	1108329
cat	18230
schw	316709
abnb	1559720
sny	1121404
chtr	1091667
zm	1585521
bidu	1329099
hdb	1144967
rtx	101829
td	947263
intu	896878
ge	40545
chl	1117795
gs	886982
axp	4962
now	1373715
ibm	51143
blk	1364742
de	315189
amat	6951
el	1001250
amd	2488
uber	1543151
mmm	66740
frcoy	1446595
chdry	1450488
amt	1053507
byddy	1445162
deo	835403
mu	723125
bkng	1075531
snap	1564408
lmt	936468
tgt	27419
cvs	64803
syk	310764
hkxcy	1445476
eadsy	1378580
beke	1809587
vale	917851
meli	1099590
isrg	1035267
dmlry	1067318
gsk	1131399
sbgsy	923734
fis	1136893
tjx	109198
bti	1303523
mo	764180
chgcy	1453934
snp	1123658
njdcy	1158967
ntes	1110646
lrcx	707549
gild	882095
spgi	64040
bp	313807
tfc	92230
ppruy	1445465
nio	1736541
pstvy	1689565
pld	1045609
usb	36104
mdlz	1103982
snow	1640147
zts	1555280
cb	896159
cni	16868
fisv	798354
cta-pa	30554
aiquy	1161167
gm	1467858
atvi	718877
infy	1067491
ci	1739940
kddiy	1106215
adp	8670
shecy	1442651
esloy	1085922
antm	1156039
pnc	713676
bdx	10795
cci	1051470
enb	895728
csx	277948
cme	1156375
atlcy	748954
bns	9631
mufg	67088
cop	1163165
ilmn	1110803
wbk	719245
fdx	1048911
dnngy	1679771
spot	1639920
twlo	1447669
bam	1001085
toely	1443276
cl	21665
nsc	702165
adsk	769397
duk	1326160
wday	1327811
itw	49826
shw	89800
mrna	1682852
scco	1001838
lnsty	1439584
ice	1571949
so	92122
dkily	1446519
san	891478
abb	1091587
vmw	1124610
dell	1571996
team	1650372
mmc	62709
eqnr	1140625
mraay	1450468
eqix	1101239
safry	1364012
hca	860730
ecl	31462
apd	2969
adi	6281
rbgly	1420798
chpxy	1528541
vcisy	1065198
d	715957
ceo	1095595
ibn	1103838
gpn	1123360
glncy	1524684
dash	1792789
cof	927628
